> -L"Th"
124.360986629	42.776952912
123.873315031	42.7234184956
123.398286651	42.6541290863
122.760853447	42.6366126252
122.033085762	42.5568793912
121.622704537	42.4924598475
121.287529002	42.4794384399
> -L"Th"
121.120685731	42.3398985878
120.876212852	42.304279882
120.293553638	42.2206995463
120.095481286	42.2058737942
119.632658527	42.1878961194
119.448014198	42.1645013166
> -L"Th"
119.441982949	42.2016058004
119.103695375	42.193562208
118.678024171	42.1586212294
118.283053966	42.1396961306
117.892769078	42.1127354885
> -L"Th"
117.780558378	42.0715784186
117.219150288	42.0922373073
116.769292407	42.1118371425
116.35819792	42.143780267
116.147226	42.1503325503
116.019402699	42.1594415424
115.935322032	42.1735666869
115.830770443	42.1820520855
115.68174111	42.1678195237
115.116868665	42.0488620567
114.780092697	42.0528869896
114.341601132	42.0476795185
113.879251683	42.0518140869
113.243575241	42.0512995547
113.052053394	42.0526121783
112.870644976	42.0260952293
112.632088031	41.9696014031
112.409047267	41.9022556852
112.219452965	41.8859146143
111.998653974	41.9068833468
111.945428327	41.9055294207
111.791816674	41.8744919125
111.648259334	41.8325893269
111.572312322	41.8232164622
111.397429373	41.8181035319
111.319038761	41.8214330493
111.215815335	41.8104568004
111.136370602	41.7958586375
110.986153711	41.7915534173
110.761677801	41.7974766231
110.615563894	41.8026605169
110.39118863	41.8102513396
110.245141037	41.8175408038
110.040951607	41.8847671719
109.669032453	41.9858518154
109.286156932	42.0561852166
108.893882509	42.1286894209
108.400902409	42.208107399
108.229116682	42.2291898511
