
> -L"Th_X"
106.574665916	34.006182234
106.48668377	34.092965005
106.399819829	34.1196168773
106.207994323	34.1084761588
106.015302229	34.1371341996
105.839935971	34.2374467782
105.713532373	34.2866657603
105.508262924	34.536734158
105.464196003	34.6144571892
105.258248837	34.6883244738
105.131290219	34.7281705183
105.053337725	34.7297513
104.882037215	34.7928757115
104.77222061	34.8253605091
104.51866558	34.9225457541
104.09232165	34.9865344591
103.858518409	35.0260188436
103.70064527	35.0867293476
103.43893534	35.2007091723
103.288817839	35.2485852559
103.06371061	35.2553101573
102.843912438	35.2934699376
102.629754704	35.3600287756
102.492867424	35.5510855761
102.317655195	35.6894720679
102.090802177	35.7760086543
101.765431651	35.9432868921
101.495936516	36.1038210387
101.261876805	36.1886230766
100.970639005	36.2859075564
100.619257406	36.4196784969
100.297855891	36.5913193336
100.004460939	36.7606622496
> -L"th0"
106.421827283	33.1351723633
106.310971398	33.2120520951
106.00241092	33.2886416065
105.670770156	33.3420456009
105.448443293	33.3321623323
105.224144639	33.2721567737
105.034077765	33.1859579034
104.796619049	33.0494268164
104.4630735	33.035014208
> -L"Th"
104.459043622	33.0352281464
104.343246051	33.0562877751
104.176773854	33.094540936
103.909847325	33.2268175117
103.677003886	33.3792174489
103.22540384	33.7153268153
102.905404011	33.9878776717
102.731991783	34.0740571147
102.645685443	34.0972402512
102.303674557	34.0493064753
102.025168988	34.0429210045
101.996244566	34.0171573341
101.874867777	34.0286048365
101.781986978	34.0338868821
101.540764318	34.08694365
101.026128661	34.2092303123
100.461731278	34.36471649
99.9962217111	34.5564475456
