
> -L"Th_X_blind"
106.880124378	34.665817195
106.803789272	34.7586411257
106.58005988	34.9240628609
106.281048967	35.1438058172
106.083474579	35.3309844288
105.947538121	35.5612302962
105.814018729	35.8557247458
105.749990877	36.0706055723
105.727703367	36.3106156844
105.72873812	36.3552901463
> -L"Th_blind"
117.795324213	32.4788615721
117.304335327	32.5047696854
116.872401795	32.5679954507
116.691470267	32.6069805337
115.979072693	32.7164205117
115.951867461	32.721252967
115.953441884	32.7520721155
115.456137326	32.8335422317
114.963457776	32.8945229402
114.720186613	32.9399511112
114.144418329	33.0980589259
113.751341698	33.2592058162
113.395454939	33.4342064228
113.121143129	33.6076443866
112.938998707	33.7548639415
112.826417585	33.8649522935
112.733101441	33.9216596303
112.515991041	34.057249337
112.281390868	34.2566997781
112.138792432	34.4511488907
112.030895326	34.5512579662
111.849270356	34.6357340122
111.545803924	34.714570401
111.295975648	34.7456015063
111.180217372	34.7452478264
111.020267152	34.677546707
110.846983165	34.5914512651
110.735436854	34.5499361914
110.421330741	34.5472292256
110.128320444	34.5372781918
109.901554021	34.537449122
109.814936227	34.5360534147
109.659241615	34.4892894282
109.46242381	34.4415516732
109.281951023	34.4005584929
109.10887604	34.3797118267
108.878562226	34.3402810749
